seq_ID	Species	Genus	Family	Order	Class	Phylum	Subkingdom	Kingdom	Empire
TCC6-18S-1	Chlorogonium elongatum	Chlorogonium	Haematococcaceae	Volvocales	Chlorophyceae	Chlorophyta	Viridiplantae	Plantae	Eukaryota
TCC7a-18S-1	Fragilaria sp.	Fragilaria	Fragilariaceae	Fragilariales	Fragilariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
TCC9-18S-1	Pandorina morum	Pandorina	Volvocaceae	Volvocales	Chlorophyceae	Chlorophyta	Viridiplantae	Plantae	Eukaryota
TCC26-18S-1	Scenedesmus spinosus	Scenedesmus	Scenedesmaceae	Chlorococcales	Chlorophyceae	Chlorophyta	Viridiplantae	Plantae	Eukaryota
TCC27-18S-1	Scenedesmus quadricauda	Scenedesmus	Scenedesmaceae	Chlorococcales	Chlorophyceae	Chlorophyta	Viridiplantae	Plantae	Eukaryota
TCC63-18S-1	Monoraphidium pusillum	Monoraphidium	Chlorellaceae	Chlorellales	Trebouxiophyceae	Chlorophyta	Viridiplantae	Plantae	Eukaryota
TCC68-18S-1	Ankistrodesmus bibraianus	Ankistrodesmus	Chlorellaceae	Chlorellales	Trebouxiophyceae	Chlorophyta	Viridiplantae	Plantae	Eukaryota
TCC107-18S-1	Craticula accomoda	Craticula	Stauroneidaceae	Naviculales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
TCC108b-18S-1	Mychonastes homosphaera	Mychonastes	Oocystaceae	Oocystales	Trebouxiophyceae	Chlorophyta	Viridiplantae	Plantae	Eukaryota
TCC108c-18S-1	Mychonastes homosphaera	Mychonastes	Oocystaceae	Oocystales	Trebouxiophyceae	Chlorophyta	Viridiplantae	Plantae	Eukaryota
TCC116-18S-1	Scenedesmus acutus	Scenedesmus	Scenedesmaceae	Chlorococcales	Chlorophyceae	Chlorophyta	Viridiplantae	Plantae	Eukaryota
TCC119-18S-1	Scenedesmus intermedius	Scenedesmus	Scenedesmaceae	Chlorococcales	Chlorophyceae	Chlorophyta	Viridiplantae	Plantae	Eukaryota
TCC123-18S-1	Botryococcus protuberans	Botryococcus	Dictyosphaerioideae	Chlorococcales	Chlorophyceae	Chlorophyta	Viridiplantae	Plantae	Eukaryota
TCC125-18S-1	Eudorina elegans	Eudorina	Volvocaceae	Volvocales	Chlorophyceae	Chlorophyta	Viridiplantae	Plantae	Eukaryota
TCC129-18S-1	Coelastrum reticulatum	Coelastrum	Coelastraceae	Chlorococcales	Chlorophyceae	Chlorophyta	Viridiplantae	Plantae	Eukaryota
TCC132-18S-1	Chlamydomonas reinhardtii	Chlamydomonas	Chlamydomonadaceae	Volvocales	Chlorophyceae	Chlorophyta	Viridiplantae	Plantae	Eukaryota
TCC134-18S-1	Ulnaria acus	Ulnaria	Fragilariaceae	Fragilariales	Fragilariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
TCC136-1-18S-1	Mychonastes sp.	Mychonastes	Oocystaceae	Oocystales	Trebouxiophyceae	Chlorophyta	Viridiplantae	Plantae	Eukaryota
TCC136-2-18S-1	Mychonastes sp.	Mychonastes	Oocystaceae	Oocystales	Trebouxiophyceae	Chlorophyta	Viridiplantae	Plantae	Eukaryota
TCC136-3-18S-1	Mychonastes sp.	Mychonastes	Oocystaceae	Oocystales	Trebouxiophyceae	Chlorophyta	Viridiplantae	Plantae	Eukaryota
TCC136-4-18S-1	Mychonastes sp.	Mychonastes	Oocystaceae	Oocystales	Trebouxiophyceae	Chlorophyta	Viridiplantae	Plantae	Eukaryota
TCC136-5-18S-1	Mychonastes sp.	Mychonastes	Oocystaceae	Oocystales	Trebouxiophyceae	Chlorophyta	Viridiplantae	Plantae	Eukaryota
TCC139-1-18S-1	Nitzschia palea	Nitzschia	Bacillariaceae	Bacillariales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
TCC139-2-18S-1	Nitzschia palea	Nitzschia	Bacillariaceae	Bacillariales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
TCC139-3-18S-1	Nitzschia palea	Nitzschia	Bacillariaceae	Bacillariales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
TCC141-1-18S-1	Scenedesmus acutus var. acutus	Scenedesmus	Scenedesmaceae	Chlorococcales	Chlorophyceae	Chlorophyta	Viridiplantae	Plantae	Eukaryota
TCC141-2-18S-1	Scenedesmus acutus var. acutus	Scenedesmus	Scenedesmaceae	Chlorococcales	Chlorophyceae	Chlorophyta	Viridiplantae	Plantae	Eukaryota
TCC141-3-18S-1	Scenedesmus acutus var. acutus	Scenedesmus	Scenedesmaceae	Chlorococcales	Chlorophyceae	Chlorophyta	Viridiplantae	Plantae	Eukaryota
