seq_ID	Species	Genus	Family	Order	Subclass	Class	Subphylum	Subkingdom	Kingdom
TCC6-18S-1	Chlorogonium elongatum	Chlorogonium							
TCC7a-18S-1	Fragilaria sp.	Fragilaria	Fragilariaceae	Fragilariales	Fragilariophycidae	Bacillariophyceae	Bacillariophytina	Diatomeae	Diatomista
TCC9-18S-1	Pandorina morum	Pandorina							
TCC26-18S-1	Scenedesmus spinosus	Scenedesmus							
TCC27-18S-1	Scenedesmus quadricauda	Scenedesmus							
TCC63-18S-1	Monoraphidium pusillum	Monoraphidium							
TCC68-18S-1	Ankistrodesmus bibraianus	Ankistrodesmus							
TCC107-18S-1	Craticula accomoda	Craticula	Stauroneidaceae	Naviculales	Bacillariophycidae	Bacillariophyceae	Bacillariophytina	Diatomeae	Diatomista
TCC108b-18S-1	Mychonastes homosphaera	Mychonastes							
TCC108c-18S-1	Mychonastes homosphaera	Mychonastes							
TCC116-18S-1	Scenedesmus acutus	Scenedesmus							
TCC119-18S-1	Scenedesmus intermedius	Scenedesmus							
TCC123-18S-1	Botryococcus protuberans	Botryococcus							
TCC125-18S-1	Eudorina elegans	Eudorina							
TCC129-18S-1	Coelastrum reticulatum	Coelastrum							
TCC132-18S-1	Chlamydomonas reinhardtii	Chlamydomonas							
TCC134-18S-1	Ulnaria acus	Ulnaria	Fragilariaceae	Fragilariales	Fragilariophycidae	Bacillariophyceae	Bacillariophytina	Diatomeae	Diatomista
TCC136-1-18S-1	Mychonastes sp.	Mychonastes							
TCC136-2-18S-1	Mychonastes sp.	Mychonastes							
TCC136-3-18S-1	Mychonastes sp.	Mychonastes							
TCC136-4-18S-1	Mychonastes sp.	Mychonastes							
TCC136-5-18S-1	Mychonastes sp.	Mychonastes							
TCC139-1-18S-1	Nitzschia palea	Nitzschia	Bacillariaceae	Bacillariales	Bacillariophycidae	Bacillariophyceae	Bacillariophytina	Diatomeae	Diatomista
TCC139-2-18S-1	Nitzschia palea	Nitzschia	Bacillariaceae	Bacillariales	Bacillariophycidae	Bacillariophyceae	Bacillariophytina	Diatomeae	Diatomista
TCC139-3-18S-1	Nitzschia palea	Nitzschia	Bacillariaceae	Bacillariales	Bacillariophycidae	Bacillariophyceae	Bacillariophytina	Diatomeae	Diatomista
TCC141-1-18S-1	Scenedesmus acutus var. acutus	Scenedesmus							
TCC141-2-18S-1	Scenedesmus acutus var. acutus	Scenedesmus							
TCC141-3-18S-1	Scenedesmus acutus var. acutus	Scenedesmus							
TCC141-4-18S-1	Scenedesmus acutus var. acutus	Scenedesmus							
TCC141-5-18S-1	Scenedesmus acutus var. acutus	Scenedesmus							
TCC141-6-18S-1	Scenedesmus acutus var. acutus	Scenedesmus							
TCC142-1-18S-1	Scenedesmus acutus	Scenedesmus							
TCC142-2-18S-1	Scenedesmus acutus	Scenedesmus							
TCC143-18S-1	Scenedesmus acutus	Scenedesmus							
TCC144-1-18S-1	Scenedesmus quadricauda	Scenedesmus							
TCC144-2-18S-1	Scenedesmus quadricauda	Scenedesmus							
TCC144-3-18S-1	Scenedesmus quadricauda	Scenedesmus							
TCC144-4-18S-1	Scenedesmus pecsensis	Scenedesmus							
TCC144-5-18S-1	Scenedesmus pecsensis	Scenedesmus							
TCC144-6-18S-1	Scenedesmus quadricauda	Scenedesmus							
TCC144-7-18S-1	Scenedesmus quadricauda	Scenedesmus							
TCC145-2-18S-1	Choricystis sp.	Choricystis							
TCC146-1-18S-1	Mychonastes sp.	Mychonastes							
TCC146-2-18S-1	Mychonastes sp.	Mychonastes							
TCC146-3-18S-1	Mychonastes sp.	Mychonastes							
TCC147-18S-1	Mychonastes sp.	Mychonastes							
TCC148-1-18S-1	Mychonastes homosphaera	Mychonastes							
TCC148-2-18S-1	Mychonastes homosphaera	Mychonastes							
TCC148-3-18S-1	Mychonastes homosphaera	Mychonastes							
TCC148-4-18S-1	Mychonastes homosphaera	Mychonastes							
TCC148-5-18S-1	Mychonastes homosphaera	Mychonastes							
TCC148-6-18S-1	Mychonastes homosphaera	Mychonastes							
TCC150-3-18S-1	Mychonastes homosphaera	Mychonastes							
TCC150-8-18S-1	Chlorella vulgaris	Chlorella							
TCC160-18S-1	Parachlorella kessleri	Parachlorella							
TCC162-18S-1	Chlorella sp.	Chlorella							
TCC163-18S-1	Chlorella vulgaris	Chlorella							
TCC164-18S-1	Muriella zofingiensis	Muriella							
TCC165-18S-1	Xanthonema montanum	Xanthonema							
TCC166-18S-1	Stichococcus cf. fragilis	Stichococcus							
TCC167-18S-1	Synura petersenii	Synura							
TCC168-18S-1	Cryptomonas tetrapyrenoidosa 	Cryptomonas							
TCC208-18S-1	Chlorella (3 varietés)	Chlorella							
TCC212-18S-1	Chlorella sp.	Chlorella							
TCC225-18S-1	Chlorella vulgaris	Chlorella							
TCC229-18S-1	Chlorella vulgaris	Chlorella							
TCC234-2-18S-1	Chlamydomonas reinhardtii	Chlamydomonas							
TCC301-18S-1	Fragilaria crotonensis	Fragilaria	Fragilariaceae	Fragilariales	Fragilariophycidae	Bacillariophyceae	Bacillariophytina	Diatomeae	Diatomista
TCC302-18S-1	Fragilaria crotonensis	Fragilaria	Fragilariaceae	Fragilariales	Fragilariophycidae	Bacillariophyceae	Bacillariophytina	Diatomeae	Diatomista
TCC303-18S-1	Fragilaria crotonensis	Fragilaria	Fragilariaceae	Fragilariales	Fragilariophycidae	Bacillariophyceae	Bacillariophytina	Diatomeae	Diatomista
TCC304-18S-1	Fragilaria crotonensis	Fragilaria	Fragilariaceae	Fragilariales	Fragilariophycidae	Bacillariophyceae	Bacillariophytina	Diatomeae	Diatomista
TCC306-18S-1	Ulnaria ulna	Ulnaria	Fragilariaceae	Fragilariales	Fragilariophycidae	Bacillariophyceae	Bacillariophytina	Diatomeae	Diatomista
TCC308-18S-1	Scenedesmus sp.	Scenedesmus							
TCC310-18S-1	Scenedesmus quadricauda	Scenedesmus							
TCC311-18S-1	Scenedesmus spinosus	Scenedesmus							
TCC316-18S-1	Scenedesmus intermedius	Scenedesmus							
TCC320-18S-1	Ankistrodesmus gracilis	Ankistrodesmus							
TCC322-18S-1	Mychonastes homosphaera	Mychonastes							
TCC324-18S-1	Scenedesmus spinosus	Scenedesmus							
TCC325-18S-1	Scenedesmus acutus	Scenedesmus							
TCC326-18S-1	Scenedesmus spinosus	Scenedesmus							
TCC329-18S-1	Chlorella vulgaris var. viridis	Chlorella							
TCC330-18S-1	Mychonastes homosphaera	Mychonastes							
TCC331-18S-1	Mychonastes homosphaera	Mychonastes							
TCC332-18S-1	Scenedesmus nanus	Chlorella							
TCC335-18S-1	Neocystis arvensis	Neocystis							
TCC336-18S-1	Scotiellopsis rubescens	Scotiellopsis							
TCC342-18S-1	Chlorella saccharophila	Chlorella							
TCC343-18S-1	Chlamydomonas sp.	Chlamydomonas							
TCC346-18S-1	Chlorella saccharophila	Chlorella							
