taxa	scientific_name	rank
Campylodiscus hibernicus	Campylodiscus hibernicus Ehrenberg, 1845	SPECIES
Campylodiscus levanderi	Campylodiscus levanderi Hustedt, 1925	SPECIES
Campylodiscus noricus	Campylodiscus noricus Ehrenberg ex Kützing, 1844	SPECIES
Campylosira cymbelliformis	Campylosira cymbelliformis (A.Schmidt) Grunow ex Van Heurck, 1885	SPECIES
Carpatogramma crucicula	-	-
Catenula	-	-
Catenula adhaerens	Catenula adhaerens (Mereschkowsky) Mereschkowsky, 1903	SPECIES
Cavinula	Cavinula D.G.Mann & A.J.Stickle, 1990	GENUS
Cavinula cocconeiformis	Cavinula cocconeiformis (Gregory ex Greville) D.G.Mann & A.J.Stickle, 1990	SPECIES
Cavinula intractata	Cavinula intractata (Hustedt) Lange-Bertalot, 1996	SPECIES
Cavinula jaernefeltii	Cavinula jaernefeltii (Hustedt) D.G.Mann & A.J.Stickle, 1990	SPECIES
Cavinula lacustris	Cavinula lacustris (W.Gregory) D.G.Mann & Stickle, 1990	SPECIES
Cavinula lapidosa	Cavinula lapidosa (Krasske) Lange-Bertalot, 1996	SPECIES
Cavinula mollicula	Cavinula mollicula (Hustedt) Lange-Bertalot, 1996	SPECIES
Cavinula pseudoscutiformis	Cavinula pseudoscutiformis (Hustedt) D.G.Mann & A.J.Stickle, 1990	SPECIES
Cavinula pusio	Cavinula pusio (Cleve) Lange-Bertalot, 2004	SPECIES
Cavinula scutelloides	Cavinula scutelloides (W.Smith) Lange-Bertalot, 1996	SPECIES
Cavinula variostriata	Cavinula variostriata (Krasske) D.G.Mann & A.J.Stickle, 1990	SPECIES
Centrales	Centrales	ORDER
Centronella reicheltii	Centronella reichelti Voigt, 1902	SPECIES
Cerataulina	-	-
Cerataulina pelagica	Cerataulina pelagica (Cleve) Hendey, 1937	SPECIES
Chaetoceros	Chaetoceros Ehrenberg	GENUS
Chaetoceros castracanei	Chaetoceros castracanei Karsten	SPECIES
Chaetoceros costatum	Chaetoceros costatus Pavillard	SPECIES
Chaetoceros danicus	Chaetoceros danicus Cleve	SPECIES
Chaetoceros debilis	Chaetoceros debilis Cleve	SPECIES
Chaetoceros decipiens	Chaetoceros decipiens Cleve	SPECIES
Chaetoceros densus	Chaetoceros densus (Cleve) Cleve	SPECIES
Chaetoceros diadema	Chaetoceros diadema (Ehrenberg) Gran	SPECIES
Chaetoceros eibenii	Chaetoceros eibenii (Grunow) Meunier	SPECIES
Chaetoceros impressus	Chaetoceros impressus K.G.Jensen & Moestrup, 1998	SPECIES
Chaetoceros muelleri	Chaetoceros muelleri Lemmermann	SPECIES
Chaetoceros protuberans	Chaetoceros protuberans Lauder	SPECIES
Chaetoceros socialis	Chaetoceros socialis Lauder	SPECIES
Chaetoceros subtilis	Chaetoceros subtilis Cleve	SPECIES
Chamaepinnularia	Chamaepinnularia H.Lange-Bertalot & K.Krammer, 1996	GENUS
Chamaepinnularia begeri	Chamaepinnularia begeri (Krasske) Lange-Bertalot, 1996	SPECIES
Chamaepinnularia evanida	Chamaepinnularia evanida (Hustedt) Lange-Bertalot, 1996	SPECIES
Chamaepinnularia hassiaca	Chamaepinnularia hassiaca (Krasske) Cantonati & Lange-Bertalot, 2009	SPECIES
Chamaepinnularia krookiformis	Chamaepinnularia krookiformis (K.Krammer) Lange-Bertalot & K.Krammer, 1999	SPECIES
Chamaepinnularia krookii	Chamaepinnularia krookii (Grunow) Lange-Bertalot & K.Krammer, 1999	SPECIES
Chamaepinnularia mediocris	Chamaepinnularia mediocris (Krasske) Lange-Bertalot & Krammer, 1996	SPECIES
Chamaepinnularia muscicola	Chamaepinnularia muscicola (J.B.Petersen) M.S.Kulikovskiy, Lange-Bert. & Witkowski, 2010	SPECIES
Chamaepinnularia soehrensis	Chamaepinnularia soehrensis (Krasske) Lange-Bertalot & Krammer, 1996	SPECIES
