Species	Genus	Family	Order	Subclass	Class	Subphylum	Subkingdom	Kingdom
Chlorogonium elongatum	Chlorogonium							
Fragilaria sp.	Fragilaria	Fragilariaceae	Fragilariales	Fragilariophycidae	Bacillariophyceae	Bacillariophytina	Diatomeae	Diatomista
Pandorina morum	Pandorina							
Scenedesmus spinosus	Scenedesmus							
Scenedesmus quadricauda	Scenedesmus							
Monoraphidium pusillum	Monoraphidium							
Ankistrodesmus bibraianus	Ankistrodesmus							
Craticula accomoda	Craticula	Stauroneidaceae	Naviculales	Bacillariophycidae	Bacillariophyceae	Bacillariophytina	Diatomeae	Diatomista
Mychonastes homosphaera	Mychonastes							
Mychonastes homosphaera	Mychonastes							
Scenedesmus acutus	Scenedesmus							
Scenedesmus intermedius	Scenedesmus							
Botryococcus protuberans	Botryococcus							
Eudorina elegans	Eudorina							
Coelastrum reticulatum	Coelastrum							
Chlamydomonas reinhardtii	Chlamydomonas							
Ulnaria acus	Ulnaria	Fragilariaceae	Fragilariales	Fragilariophycidae	Bacillariophyceae	Bacillariophytina	Diatomeae	Diatomista
Mychonastes sp.	Mychonastes							
Mychonastes sp.	Mychonastes							
Mychonastes sp.	Mychonastes							
Mychonastes sp.	Mychonastes							
Mychonastes sp.	Mychonastes							
Nitzschia palea	Nitzschia	Bacillariaceae	Bacillariales	Bacillariophycidae	Bacillariophyceae	Bacillariophytina	Diatomeae	Diatomista
Nitzschia palea	Nitzschia	Bacillariaceae	Bacillariales	Bacillariophycidae	Bacillariophyceae	Bacillariophytina	Diatomeae	Diatomista
Nitzschia palea	Nitzschia	Bacillariaceae	Bacillariales	Bacillariophycidae	Bacillariophyceae	Bacillariophytina	Diatomeae	Diatomista
Scenedesmus acutus var. acutus	Scenedesmus							
Scenedesmus acutus var. acutus	Scenedesmus							
Scenedesmus acutus var. acutus	Scenedesmus							
Scenedesmus acutus var. acutus	Scenedesmus							
Scenedesmus acutus var. acutus	Scenedesmus							
Scenedesmus acutus var. acutus	Scenedesmus							
Scenedesmus acutus	Scenedesmus							
Scenedesmus acutus	Scenedesmus							
Scenedesmus acutus	Scenedesmus							
Scenedesmus quadricauda	Scenedesmus							
Scenedesmus quadricauda	Scenedesmus							
Scenedesmus quadricauda	Scenedesmus							
Scenedesmus pecsensis	Scenedesmus							
Scenedesmus pecsensis	Scenedesmus							
Scenedesmus quadricauda	Scenedesmus							
Scenedesmus quadricauda	Scenedesmus							
Choricystis sp.	Choricystis							
