ID_TAXON;GATTUNG;UNTERGATTUNG;ART;TAXONNAME;BESCHREIBER;JAHRESZAHL;UNTERFAMILIE;FAMILIE;GG_GROSSGRUPPE;GG_BEZEICHNUNG;GG_REIHENFOLGE;ID_VERSION;VER_BEZEICHNUNG;SYNONYM_LISTE;TROPHIE_INDEX;TROPHIE_WEIGHT;SAPROBIE_INDEX;SAPROBIE_WEIGHT;REFERENZART_TYP;REFERENZART_TYPB_AM1;REFERENZART_TYPB_AM2;REFERENZART_TYPB_AV1;REFERENZART_TYPB_AV2;REFERENZART_TYPB_BR1;REFERENZART_TYPB_BR2;REFERENZART_TYPB_BR3;REFERENZART_TYPB_FH1;REFERENZART_TYPB_FH2;REFERENZART_TYPB_FL1;REFERENZART_TYPB_FL2;REFERENZART_TYPB_FL3;REFERENZART_TYPB_GF1;REFERENZART_TYPB_GG1;REFERENZART_TYPB_GG2;REFERENZART_TYPB_GG3;REFERENZART_TYPB_HV1;REFERENZART_TYPB_HV2;REFERENZART_TYPB_HV3;REFERENZART_TYPB_IB1;REFERENZART_TYPB_IB2;REFERENZART_TYPB_KH2;REFERENZART_TYPB_KH3;REFERENZART_TYPB_KV1;REFERENZART_TYPB_KV2;REFERENZART_TYPB_KV3;REFERENZART_TYPB_SA1;REFERENZART_TYPB_SA2;REFERENZART_TYPB_SA3;REFERENZART_TYPB_UZA1;REFERENZART_TYPB_UZA2;REFERENZART_TYPB_UZA3;REFERENZART_TYPB_VAV1;REFERENZART_TYPB_VAV2;REFERENZART_TYPB_VZA2;REFERENZART_TYPB_VZA3
1543;Achnanthes;;brevipes var. brevipes;Achnanthes brevipes var. brevipes;C.AGARDH;0;[Kl:Diatomophyceae];[Kl:Diatomophyceae];KIESELALGEN;BACILLARIOPHYCEAE;6;4;Pfister et al. 2017;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1544;Achnanthes;;brevipes var. intermedia;Achnanthes brevipes var. intermedia;(KUETZING) CLEVE;0;[Kl:Diatomophyceae];[Kl:Diatomophyceae];KIESELALGEN;BACILLARIOPHYCEAE;6;4;Pfister et al. 2017;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
221;Achnanthes;;coarctata;Achnanthes coarctata;(BREBISSON) GRUNOW;0;[Kl:Diatomophyceae];[Kl:Diatomophyceae];KIESELALGEN;BACILLARIOPHYCEAE;6;4;Pfister et al. 2017;Achnanthes coarctata var. constricta, Achnanthes coarctata var. elliptica;2,5;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
223;Achnanthes;;curtissima;Achnanthes curtissima;CARTER;0;[Kl:Diatomophyceae];[Kl:Diatomophyceae];KIESELALGEN;BACILLARIOPHYCEAE;6;4;Pfister et al. 2017;Achnanthes microscopica;0;0;0;0;A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
228;Achnanthes;;exigua;Achnanthes exigua;GRUNOW;0;[Kl:Diatomophyceae];[Kl:Diatomophyceae];KIESELALGEN;BACILLARIOPHYCEAE;6;4;Pfister et al. 2017;;2,6;2;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1422;Achnanthes;;hintzii;Achnanthes hintzii;Lange-Bertalot & Krammer 1989;0;[Kl:Diatomophyceae];[Kl:Diatomophyceae];KIESELALGEN;BACILLARIOPHYCEAE;6;4;Pfister et al. 2017;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1423;Achnanthes;;inflata;Achnanthes inflata;(Kützing) Grunow in Cleve & Grunow 1880;0;[Kl:Diatomophyceae];[Kl:Diatomophyceae];KIESELALGEN;BACILLARIOPHYCEAE;6;4;Pfister et al. 2017;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
243;Achnanthes;;lemmermannii;Achnanthes lemmermannii;HUSTEDT;0;[Kl:Diatomophyceae];[Kl:Diatomophyceae];KIESELALGEN;BACILLARIOPHYCEAE;6;4;Pfister et al. 2017;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1449;Achnanthes;;lutheri;Achnanthes lutheri;HUSTEDT;0;[Kl:Diatomophyceae];[Kl:Diatomophyceae];KIESELALGEN;BACILLARIOPHYCEAE;6;4;Pfister et al. 2017;;0;0;0;0;A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
247;Achnanthes;;minuscula;Achnanthes minuscula;HUSTEDT;0;[Kl:Diatomophyceae];[Kl:Diatomophyceae];KIESELALGEN;BACILLARIOPHYCEAE;6;4;Pfister et al. 2017;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
