taxa	scientificName	rank	kingdom	phylum	class	order	family	genus
Amphora acutiuscula	Amphora acutiuscula Kützing, 1844	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Naviculales	Amphipleuraceae	Halamphora
Amphora aequalis	Amphora aequalis Krammer, 1980	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Thalassiophysales	Catenulaceae	Amphora
Achnanthes affinis	Achnanthes affinis	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Achnanthales	Achnanthaceae	Achnanthes
Amphora aff. vetula	Amphora vetula Levkov, 2009	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Thalassiophysales	Catenulaceae	Amphora
Achnanthes austriaca var. helvetica	Achnanthes austriaca var. helvetica Hust., 1933	VARIETY	Chromista	Ochrophyta	Bacillariophyceae	Achnanthales	Achnanthidiaceae	Psammothidium
Amphiprora alata	Amphiprora alata (Ehrenberg) Kützing, 1844	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Surirellales	Entomoneidaceae	Entomoneis
Achnanthes alteragracillima	Achnanthes alteragracillima Lange-Bert., 1993	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	-	-	Microneis
Aulacoseira ambigua	Aulacoseira ambigua (Grunow) Simonsen, 1979	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Aulacoseirales	Aulacoseiraceae	Aulacoseira
Aulacoseira ambigua f. curvata	Aulacoseira ambigua f. curvata (Skabichevskii) G.K.Khursevich & S.A.Fedenya, 2006	FORM	Chromista	Ochrophyta	Bacillariophyceae	Aulacoseirales	Aulacoseiraceae	Aulacoseira
Achnanthes amoena	Achnanthes amoena Hust., 1952	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Achnanthales	Achnanthidiaceae	Karayevia
Achnanthes amphicephala	Achnanthes amphicephala Hust., 1939	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Achnanthales	Achnanthaceae	Achnanthes
Achnanthes anastasiae	Achnanthes anastasiae Kaczmarska, 1985	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Achnanthales	Achnanthidiaceae	Achnanthidium
Achnanthes andicola	Achnanthes andicola (Cleve) Hust., 1911	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Achnanthales	Achnanthidiaceae	Achnanthidium
Achnanthidium acsiae	Achnanthidium acsiae Wojtal, E.Morales, Van de Vijver & Ector, 2011	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Achnanthales	Achnanthidiaceae	Achnanthidium
Achnanthidium alteragracillima	Achnanthidium alteragracillimum Round & Bukhtiyarova, 1996	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Achnanthales	Achnanthidiaceae	Achnanthidium
Achnanthes atomus	Achnanthes atomus	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Achnanthales	Achnanthaceae	Achnanthes
Achnanthes austriaca	Achnanthes austriaca Hust.	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Achnanthales	Achnanthaceae	Achnanthes
Achnanthes austriaca var. ventricosa	Achnanthes austriaca var. ventricosa Krasske, 1932	VARIETY	Chromista	Ochrophyta	Bacillariophyceae	Achnanthales	Achnanthidiaceae	Psammothidium
Achnanthes biasolettiana	Achnanthes biasolettiana Grunow, 1880	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Achnanthales	Achnanthaceae	Achnanthes
Achnanthes bioretii	Achnanthes bioretii Germain, 1957	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Achnanthales	Achnanthaceae	Achnanthes
Achnanthes biporoma	Achnanthes biporoma M.H.Hohn & J.Hellerman, 1963	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Achnanthales	Achnanthidiaceae	Planothidium
Achnanthes biasolettiana terato	Achnanthes biasolettiana Grunow, 1880	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Achnanthales	Achnanthaceae	Achnanthes
Achnanthes boyei	Achnanthes boyei Østrup, 1918	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Achnanthales	Achnanthidiaceae	Planothidium
Achnanthes brevipes var. parvula	Achnanthes brevipes var. parvula (Kützing) Cleve, 1895	VARIETY	Chromista	Ochrophyta	Bacillariophyceae	Achnanthales	Achnanthaceae	Achnanthes
Achnanthidium bioretii	Achnanthidium bioretii (H.Germ.) Edlund	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Achnanthales	Achnanthidiaceae	Psammothidium
Adlafia bryophila	Adlafia bryophila (J.B.Petersen) Gerd Moser, Lange-Bertalot & D.Metzeltin, 1998	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Naviculales	Naviculaceae	Adlafia
Achnanthes bisaolettiana var. sublinearis	Achnanthes biasolettiana Grunow, 1880	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Achnanthales	Achnanthaceae	Achnanthes
Achnanthes biasolettiana var. subatomus	Achnanthes biasolettiana Grunow, 1880	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Achnanthales	Achnanthaceae	Achnanthes
Amphora coffeaeformis var. acutiuscula	Amphora coffeaeformis var. acutiuscula (Kützing) Rabenhorst, 1864	VARIETY	Chromista	Ochrophyta	Bacillariophyceae	Naviculales	Amphipleuraceae	Halamphora
Achnanthidium affine	Achnanthidium affine (Grunow) Czarnecki, 1994	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Achnanthales	Achnanthidiaceae	Achnanthidium
Achnantheiopsis biporoma	Achnantheiopsis biporoma (M.H.Hohn & Hellerman) Lange-Bertalot, 1997	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Achnanthales	Achnanthidiaceae	Planothidium
Achnanthidium biporomum	Achnanthidium biporomum (M.H.Hohn & J.Hellerman) D.B.Czarnecki, 1995	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Achnanthales	Achnanthidiaceae	Planothidium
Achnanthes conspicua var. brevistriata	Achnanthes conspicua var. brevistriata Hust., 1930	VARIETY	Chromista	Ochrophyta	Bacillariophyceae	Achnanthales	Achnanthaceae	Achnanthes
Achnanthidium clevei	Achnanthidium clevei (Grunow) D.B.Czarnecki, 1995	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Achnanthales	Achnanthidiaceae	Karayevia
