taxa	harmonized_name	rank
Amphora acutiuscula	Amphora acutiuscula Kützing, 1844	SPECIES
Amphora aequalis	Amphora aequalis Krammer, 1980	SPECIES
Achnanthes affinis	Achnanthes affinis	SPECIES
Amphora aff. vetula	Amphora vetula Levkov, 2009	SPECIES
Achnanthes austriaca var. helvetica	Achnanthes austriaca var. helvetica Hust., 1933	VARIETY
Amphiprora alata	Amphiprora alata (Ehrenberg) Kützing, 1844	SPECIES
Achnanthes alteragracillima	Achnanthes alteragracillima Lange-Bert., 1993	SPECIES
Aulacoseira ambigua	Aulacoseira ambigua (Grunow) Simonsen, 1979	SPECIES
Aulacoseira ambigua f. curvata	Aulacoseira ambigua f. curvata (Skabichevskii) G.K.Khursevich & S.A.Fedenya, 2006	FORM
Achnanthes amoena	Achnanthes amoena Hust., 1952	SPECIES
Achnanthes amphicephala	Achnanthes amphicephala Hust., 1939	SPECIES
Achnanthes anastasiae	Achnanthes anastasiae Kaczmarska, 1985	SPECIES
Achnanthes andicola	Achnanthes andicola (Cleve) Hust., 1911	SPECIES
Achnanthidium acsiae	Achnanthidium acsiae Wojtal, E.Morales, Van de Vijver & Ector, 2011	SPECIES
Achnanthidium alteragracillima	Achnanthidium alteragracillimum Round & Bukhtiyarova, 1996	SPECIES
Achnanthes atomus	Achnanthes atomus	SPECIES
Achnanthes austriaca	Achnanthes austriaca Hust.	SPECIES
Achnanthes austriaca var. ventricosa	Achnanthes austriaca var. ventricosa Krasske, 1932	VARIETY
Achnanthes biasolettiana	Achnanthes biasolettiana Grunow, 1880	SPECIES
Achnanthes bioretii	Achnanthes bioretii Germain, 1957	SPECIES
Achnanthes biporoma	Achnanthes biporoma M.H.Hohn & J.Hellerman, 1963	SPECIES
Achnanthes biasolettiana terato	Achnanthes biasolettiana Grunow, 1880	SPECIES
Achnanthes boyei	Achnanthes boyei Østrup, 1918	SPECIES
Achnanthes brevipes var. parvula	Achnanthes brevipes var. parvula (Kützing) Cleve, 1895	VARIETY
Achnanthidium bioretii	Achnanthidium bioretii (H.Germ.) Edlund	SPECIES
Adlafia bryophila	Adlafia bryophila (J.B.Petersen) Gerd Moser, Lange-Bertalot & D.Metzeltin, 1998	SPECIES
Achnanthes bisaolettiana var. sublinearis	Achnanthes biasolettiana Grunow, 1880	SPECIES
Achnanthes biasolettiana var. subatomus	Achnanthes biasolettiana Grunow, 1880	SPECIES
Amphora coffeaeformis var. acutiuscula	Amphora coffeaeformis var. acutiuscula (Kützing) Rabenhorst, 1864	VARIETY
Achnanthidium affine	Achnanthidium affine (Grunow) Czarnecki, 1994	SPECIES
Achnantheiopsis biporoma	Achnantheiopsis biporoma (M.H.Hohn & Hellerman) Lange-Bertalot, 1997	SPECIES
Achnanthidium biporomum	Achnanthidium biporomum (M.H.Hohn & J.Hellerman) D.B.Czarnecki, 1995	SPECIES
Achnanthes conspicua var. brevistriata	Achnanthes conspicua var. brevistriata Hust., 1930	VARIETY
Achnanthidium clevei	Achnanthidium clevei (Grunow) D.B.Czarnecki, 1995	SPECIES
Achnanthidium clevei var. rostratum	Achnanthidium clevei var. rostratum (Hustedt) M.B.Edlund, 1995	VARIETY
Achnantheiopsis daui	Achnantheiopsis daui (Foged) Lange-Bert., 1997	SPECIES
Achnantheiopsis delicatula	Achnantheiopsis delicatula (Kütz.) Lange-Bert., 1997	SPECIES
Achnanthidium exiguum var. constrictum	Achnanthidium exiguum var. constrictum (Grunow) N.A.Andresen, E.F.Stoermer & R.G.Kreis, 2000	VARIETY
Achnantheiopsis engelbrechtii	Achnantheiopsis engelbrechtii (Cholnoky) Lange-Berta., 1997	SPECIES
Achnanthidium convergens terato	Achnanthidium convergens (Kobayasi) Kobayasi, 1997	SPECIES
Achnantheiopsis hauckiana	Achnantheiopsis hauckiana (Grunow) Lange-Bert., 1997	SPECIES
Achnanthes chlidanos	Achnanthes chlidanos M.H.Hohn & Hellerman, 1963	SPECIES
Achnanthes sp. terato	Achnanthes Bory, 1822	GENUS
Achnanthes caledonica	Achnanthes caledonica Lange-Bertalot, 1994	SPECIES
Achnanthes clevei	Achnanthes clevei Grunow, 1880	SPECIES
Achnanthidium lineare	Achnanthidium lineare W.Smith, 1855	SPECIES
Achnanthidium minutissimum var. gracillima	Achnanthidium minutissimum var. gracillima (Meister) L.Bukhtiyarova, 1995	VARIETY
