family	genus	species	rank
Surirellaceae	Campylodiscus	Campylodiscus hibernicus	species
Surirellaceae	Campylodiscus	Campylodiscus levanderi	species
Surirellaceae	Campylodiscus	Campylodiscus noricus	species
Cymatosiraceae	Campylosira	Campylosira cymbelliformis	species
Catenulaceae	Catenula	Catenula adhaerens	species
Cavinulaceae	Cavinula	nan	genus
Naviculaceae	Navicula	Navicula cocooneiformis	species
Naviculaceae	Navicula	Navicula intractata	species
Naviculaceae	Navicula	Navicula jaernefeltii	species
nan	Schizonema	Schizonema lacustre	species
Naviculaceae	Navicula	Navicula lapidosa	species
Naviculaceae	Navicula	Navicula mollicula	species
Naviculaceae	Navicula	Navicula pseudoscutiformis	species
Naviculaceae	Navicula	Navicula pusio	species
Naviculaceae	Navicula	Navicula scutelloides	species
Naviculaceae	Navicula	Navicula variostriata	species
Fragilariaceae	Centronella	Centronella reichelti	species
Hemiaulaceae	Cerataulina	Cerataulina bergonii	species
Chaetocerotaceae	Chaetoceros	nan	genus
Chaetocerotaceae	Chaetoceros	Chaetoceros castracanei	species
Chaetocerotaceae	Chaetoceros	Chaetoceros costatus	species
Chaetocerotaceae	Chaetoceros	Chaetoceros danicus	species
Chaetocerotaceae	Chaetoceros	Chaetoceros debilis	species
Chaetocerotaceae	Chaetoceros	Chaetoceros decipiens	species
Chaetocerotaceae	Chaetoceros	Chaetoceros densus	species
Chaetocerotaceae	Chaetoceros	Chaetoceros diadema	species
Chaetocerotaceae	Chaetoceros	Chaetoceros eibenii	species
Chaetocerotaceae	Chaetoceros	Chaetoceros muelleri	species
Chaetocerotaceae	Chaetoceros	Chaetoceros protuberans	species
Chaetocerotaceae	Chaetoceros	Chaetoceros socialis	species
Chaetocerotaceae	Chaetoceros	Chaetoceros subtilis	species
Naviculaceae	Chamaepinnularia	nan	genus
Naviculaceae	Chamaepinnularia	Chamaepinnularia begeri	species
Naviculaceae	Navicula	Navicula evanida	species
Naviculaceae	Navicula	Navicula hassiaca	species
Pinnulariaceae	Pinnularia	Pinnularia krookiformis	species
Naviculaceae	Chamaepinnularia	Chamaepinnularia krookii	species
Naviculaceae	Navicula	Navicula mediocris	species
Naviculaceae	Chamaepinnularia	Chamaepinnularia muscicola	species
Naviculaceae	Navicula	Navicula soehrensis	species
Pinnulariaceae	Pinnularia	Pinnularia muscicola	species
Naviculaceae	Navicula	Navicula submuscicola	species
Cocconeidaceae	Cocconeis	nan	genus
Cocconeidaceae	Cocconeis	Cocconeis disculus	species
Cocconeidaceae	Cocconeis	Cocconeis placentula	species
Cocconeidaceae	Cocconeis	Cocconeis neodiminuta	species
Cocconeidaceae	Cocconeis	Cocconeis neothumensis	species
Cocconeidaceae	Cocconeis	Cocconeis pediculus	species
Cocconeidaceae	Cocconeis	Cocconeis euglypta	species
Cocconeidaceae	Cocconeis	Cocconeis intermedia	species
Cocconeidaceae	Cocconeis	Cocconeis lineata	species
