,family,genus,species,full_len_mismatch_sum
1,Achnanthaceae,Achnanthes,Achnanthes biasolettiana,
2,Achnanthaceae,Achnanthes,Achnanthes bioretii,
3,Achnanthaceae,Achnanthes,Achnanthes chlidanos,
4,Achnanthidiaceae,Karayevia,Achnanthes clevei,
5,Achnanthaceae,Achnanthes,Achnanthes conspicua,
6,Achnanthaceae,Achnanthes,Achnanthes daui,
7,Achnanthidiaceae,Achnanthidium,Achnanthes delicatula,
8,Achnanthaceae,Achnanthes,Achnanthes delicatula,
9,Achnanthidiaceae,Planothidium,Achnanthes delicatula,
10,Achnanthaceae,Achnanthes,Achnanthes distincta,
11,Achnanthaceae,Achnanthes,Achnanthes exigua,
12,Achnanthaceae,Achnanthes,Achnanthes exilis,
13,Achnanthaceae,Achnanthes,Achnanthes grana,
14,Achnanthidiaceae,Psammothidium,Achnanthes helvetica,
15,Achnanthidiaceae,Achnanthidium,Achnanthes hungarica,
16,Achnanthaceae,Achnanthes,Achnanthes impexiformis,
17,Achnanthaceae,Achnanthes,Achnanthes inflata,
18,Achnanthidiaceae,Planothidium,Achnanthes lanceolata,
19,Achnanthaceae,Achnanthes,Achnanthes lanceolata,
20,Naviculaceae,Nupela,Achnanthes lapidosa,
21,Achnanthaceae,Achnanthes,Achnanthes laterostrata,
22,Achnanthaceae,Achnanthes,Achnanthes minutissima,
23,Achnanthaceae,Achnanthes,Achnanthes oblongella,
24,Achnanthaceae,Achnanthes,Achnanthes ploenensis,
25,Achnanthidiaceae,Karayevia,Achnanthes ploenensis,
26,Achnanthaceae,Achnanthes,Achnanthes rupestoides,
27,Achnanthaceae,Achnanthes,Achnanthes saccula,
28,Naviculaceae,Navicula,Achnanthes silvahercynia,
29,Naviculaceae,Navicula,Achnanthes subatomoides,
30,Achnanthaceae,Achnanthes,Achnanthes subhudsonis,
31,Achnanthaceae,Achnanthes,Achnanthes suchlandtii,
32,Naviculaceae,Navicula,Achnanthes ventralis,
34,Achnanthidiaceae,Achnanthidium,Achnanthidium affine,
35,Achnanthidiaceae,Achnanthidium,Achnanthidium alteragracillimum,
36,Achnanthidiaceae,Achnanthidium,Achnanthidium atomoides,
37,Achnanthaceae,Achnanthes,Achnanthidium biasolettianum,
38,Achnanthidiaceae,Psammothidium,Achnanthidium bioretii,
40,Achnanthaceae,Achnanthes,Achnanthidium daonense,
41,Achnanthaceae,Achnanthes,Achnanthidium eutrophilum,
42,Achnanthaceae,Achnanthes,Achnanthidium exiguum,
43,Achnanthaceae,Achnanthes,Achnanthidium exile,
44,Achnanthidiaceae,Psammothidium,Achnanthidium helveticum,
45,Achnanthidiaceae,Achnanthidium,Achnanthidium lineare,
46,Achnanthaceae,Achnanthes,Achnanthidium macrocephalum,
52,Naviculaceae,Navicula,Achnanthidium subatomoides,
53,Achnanthaceae,Achnanthes,Achnanthidium subatomus,
54,Achnanthaceae,Achnanthes,Achnanthidium subhudsonis,
57,Amphipleuraceae,Amphipleura,Amphipleura lindheimeri,
58,Amphipleuraceae,Amphipleura,Amphipleura pellucida,
60,Catenulaceae,Amphora,Amphora inariensis,
62,Catenulaceae,Amphora,Amphora lange-bertalotii,
63,Catenulaceae,Amphora,Amphora libyca,
64,Catenulaceae,Amphora,Amphora montana,
67,Catenulaceae,Amphora,Amphora veneta,
68,Anaulaceae,Anaulus,Anaulus balticus,
