Kigdom	phylum	Class	Order	Family	Genus	Species	Subspecies	TaxID
Eukaryota	Chordata	Unassigned	Testudines	Trionychidae	Apalone	Apalone ferox	Unassigned	100213
Eukaryota	Chordata	Unassigned	Testudines	Trionychidae	Apalone	Apalone mutica	Unassigned	101490
Eukaryota	Chordata	Unassigned	Testudines	Trionychidae	Trionyx	Trionyx triunguis	Unassigned	101491
Eukaryota	Chordata	Unassigned	Testudines	Testudinidae	Chelonoidis	Chelonoidis denticulatus	Unassigned	101697
Eukaryota	Chordata	Unassigned	Testudines	Testudinidae	Testudo	Testudo horsfieldii	Unassigned	101699
Eukaryota	Chordata	Unassigned	Testudines	Testudinidae	Testudo	Testudo kleinmanni	Unassigned	101700
Eukaryota	Chordata	Unassigned	Testudines	Testudinidae	Testudo	Testudo marginata	Unassigned	101701
Eukaryota	Chordata	Unassigned	Testudines	Testudinidae	Testudo	Testudo graeca	Testudo graeca graeca	101702
Eukaryota	Chordata	Unassigned	Testudines	Testudinidae	Testudo	Testudo graeca	Testudo graeca ibera	101703
Eukaryota	Chordata	Unassigned	Testudines	Testudinidae	Testudo	Testudo graeca	Testudo graeca whitei	101704
Eukaryota	Chordata	Unassigned	Testudines	Testudinidae	Testudo	Testudo hermanni	Testudo hermanni boettgeri	101705
Eukaryota	Chordata	Unassigned	Testudines	Testudinidae	Testudo	Testudo hermanni	Testudo hermanni hermanni	101706
Eukaryota	Chordata	Unassigned	Testudines	Chelidae	Myuchelys	Myuchelys latisternum	Unassigned	1041116
Eukaryota	Chordata	Unassigned	Testudines	Chelidae	Myuchelys	Myuchelys georgesi	Unassigned	1041117
Eukaryota	Chordata	Unassigned	Testudines	Chelidae	Myuchelys	Myuchelys purvisi	Unassigned	1041118
Eukaryota	Chordata	Unassigned	Testudines	Testudinidae	Chelonoidis	Chelonoidis darwini	Unassigned	106726
Eukaryota	Chordata	Unassigned	Testudines	Testudinidae	Chelonoidis	Chelonoidis becki	Unassigned	106727
Eukaryota	Chordata	Unassigned	Testudines	Testudinidae	Chelonoidis	Chelonoidis vicina	Unassigned	106731
Eukaryota	Chordata	Unassigned	Testudines	Testudinidae	Chelonoidis	Chelonoidis porteri	Unassigned	106732
Eukaryota	Chordata	Unassigned	Testudines	Testudinidae	Chelonoidis	Chelonoidis hoodensis	Unassigned	106733
Eukaryota	Chordata	Unassigned	Testudines	Testudinidae	Chelonoidis	Chelonoidis abingdonii	Unassigned	106734
Eukaryota	Chordata	Unassigned	Testudines	Testudinidae	Chelonoidis	Chelonoidis chathamensis	Unassigned	106735
Eukaryota	Chordata	Unassigned	Testudines	Trionychidae	Nilssonia	Nilssonia nigricans	Unassigned	1078885
Eukaryota	Chordata	Unassigned	Testudines	Emydidae	Graptemys	Graptemys nigrinoda	Graptemys nigrinoda delticola	1087310
Eukaryota	Chordata	Unassigned	Testudines	Emydidae	Malaclemys	Malaclemys terrapin	Malaclemys terrapin centrata	1087311
