,seq_id,taxon,family,genus,species,rank,full_len_mismatch_sum,three_end_mismatch_sum,gc_matches_fwd,gc_matches_rev,min_tm,delta_tm
0,TCC7a-Rbcl-1,Fragilaria H.C.Lyngbye 1819,Fragilariaceae,Fragilaria,nan,genus,0,0,0,0,50.86,2.01
1,TCC134-Rbcl-1,Ulnaria acus Kutzing M.Aboal 2003,Fragilariaceae,Synedra,Ulnaria acus,species,0,0,0,0,50.86,2.01
2,TCC425-Rbcl-1,Nitzschia palea Kutzing W.Smith 1856,Bacillariaceae,Nitzschia,Nitzschia palea,species,0,0,0,0,50.86,2.01
3,TCC426-Rbcl-1,Gomphonema parvulum Kutzing Kutzing 1849,Gomphonemataceae,Gomphonema,Gomphonema parvulum,species,0,0,0,0,52.81,0.06
4,TCC429-Rbcl-1,Gomphonema lagenula,Gomphonemataceae,Gomphonema,Gomphonema lagenula,species,0,0,0,0,52.81,0.06
5,TCC430-Rbcl-1,Gomphonema lagenula,Gomphonemataceae,Gomphonema,Gomphonema lagenula,species,0,0,0,0,52.81,0.06
6,TCC431-Rbcl-1,Gomphonema lagenula,Gomphonemataceae,Gomphonema,Gomphonema lagenula,species,0,0,0,0,52.81,0.06
7,TCC432-Rbcl-1,Gomphonema lagenula,Gomphonemataceae,Gomphonema,Gomphonema lagenula,species,0,0,0,0,52.81,0.06
8,TCC436-Rbcl-1,Gomphonema parvulum Kutzing Kutzing 1849,Gomphonemataceae,Gomphonema,Gomphonema parvulum,species,0,0,0,0,52.81,0.06
9,TCC440-Rbcl-1,Gomphonema lagenula,Gomphonemataceae,Gomphonema,Gomphonema lagenula,species,0,0,0,0,52.81,0.06
10,TCC441-Rbcl-1,Gomphonema bourbonense Reichardt 1997,Gomphonemataceae,Gomphonema,Gomphonema bourbonense,species,1,0,0,0,50.86,2.01
11,TCC447-Rbcl-1,Gomphonema parvulum Kutzing Kutzing 1849,Gomphonemataceae,Gomphonema,Gomphonema parvulum,species,0,0,0,0,52.81,0.06
12,TCC450-Rbcl-1,Gomphonema bourbonense Reichardt 1997,Gomphonemataceae,Gomphonema,Gomphonema bourbonense,species,1,0,0,0,50.86,2.01
13,TCC461-Rbcl-1,Sellaphora saugerresii Desmazieres C.E.Wetzel  D.G.Mann 2015,Sellaphoraceae,Sellaphora,Sellaphora saugerresii,species,0,0,0,0,52.81,0.06
14,TCC468-Rbcl-1,Nitzschia palea Kutzing W.Smith 1856,Bacillariaceae,Nitzschia,Nitzschia palea,species,0,0,0,0,50.86,2.01
15,TCC470-Rbcl-1,Gomphonema lagenula,Gomphonemataceae,Gomphonema,Gomphonema lagenula,species,0,0,0,0,52.81,0.06
